gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_seed,team_region,R64_picked,R32_picked,S16_picked,E8_picked,F4_picked,NCG_picked
mens,45370.7676821759,0,1,0.857922498654543,0.597994295261123,0.178426094552768,0.101120534174928,0.0526757203792685,0.0269080037996601,13,1,2,Auburn,90.6,4,East,84.90%,56.40%,14.30%,9.00%,4.00%,1.50%
mens,45370.7676821759,0,1,0.841680431178293,0.563000930301582,0.237040390792872,0.136329057494637,0.0600981065177332,0.024198977315566,15,1,150,Duke,89.4,4,South,89.60%,59.60%,20.60%,8.80%,2.10%,0.90%
mens,45370.7676821759,0,1,0.796308702800247,0.485792812419553,0.226564850498551,0.0937204752712615,0.0325046084284547,0.0136143398094391,16,1,333,Alabama,87.8,4,West,77.60%,51.60%,7.90%,3.80%,1.80%,0.80%
mens,45370.7676821759,0,1,0.76623798084558,0.357954330118975,0.107994858569662,0.0475273916272169,0.0227557330337383,0.0087367456202968,14,1,2305,Kansas,85.5,4,Midwest,88.10%,50.10%,10.10%,4.20%,1.40%,0.60%
mens,45370.7676821759,0,1,0.849510875596102,0.546473661824867,0.1567926240069,0.0666651579527907,0.0320193885367052,0.0124004103565639,18,1,2250,Gonzaga,88,5,Midwest,73.40%,38.70%,9.80%,5.10%,2.40%,0.80%
mens,45370.7676821759,0,1,0.663312455972246,0.286610505389853,0.0991411693072691,0.0495613026169114,0.0184132571613339,0.0062681233361425,19,1,275,Wisconsin,86.6,5,South,78.40%,33.50%,8.00%,3.60%,1.30%,0.50%
mens,45370.7676821759,0,1,0.780579345404177,0.315185198127951,0.0449579650904429,0.0155957595481964,0.0067369157779046,0.002847460567366,17,1,21,San Diego State,85.6,5,East,56.00%,22.90%,6.10%,2.40%,0.60%,0.30%
mens,45370.7676821759,0,1,0.64610403763258,0.319779888607891,0.140121302217257,0.0544205044917822,0.0160906884514215,0.0058903795901998,20,1,2608,Saint Mary's,84.7,5,West,72.90%,31.70%,3.80%,1.50%,0.60%,0.30%
mens,45370.7676821759,0,1,0.763768285181648,0.298158308883031,0.117706788619894,0.0244953419873349,0.0109428127418297,0.0048128348271856,21,1,252,Brigham Young,86.4,6,East,76.60%,36.70%,13.50%,4.00%,1.30%,0.50%
mens,45370.7676821759,0,1,0.504254608366017,0.202994577423937,0.0521816493668167,0.0187441596542208,0.0043723887639112,0.001313596762769,24,1,228,Clemson,83.8,6,West,65.50%,20.40%,6.80%,2.10%,0.50%,0.30%
mens,45370.7676821759,0,1,0.492916568191238,0.15952961424142,0.0682897696377665,0.0241978084452338,0.0089213624666097,0.0030265621447321,23,1,2641,Texas Tech,83.3,6,South,58.50%,23.30%,8.50%,2.00%,0.70%,0.30%
mens,45370.7676821759,0,1,0.571968150797528,0.187565067461401,0.0529493359494509,0.0124891826257104,0.0036187614075842,0.0008101243526431,22,1,2579,South Carolina,82.3,6,Midwest,79.60%,27.90%,8.70%,1.60%,0.60%,0.30%
mens,45370.7676821759,0,1,0.649202622534565,0.203181983485438,0.0981555044294326,0.031746712531923,0.0142851278037681,0.0051448684375417,26,1,251,Texas,86.6,7,Midwest,56.00%,14.50%,6.70%,2.60%,0.80%,0.40%
mens,45370.7676821759,0,1,0.514190142083542,0.248304470739101,0.106918576148728,0.0318401880677236,0.0090484627666425,0.0023588763194147,27,1,57,Florida,84.2,7,South,65.40%,14.40%,6.10%,1.20%,0.50%,0.30%
mens,45370.7676821759,0,1,0.437567142390241,0.0964897527952437,0.0312257514756022,0.0046953284497555,0.0015856451965925,0.0005288741728906,25,1,265,Washington State,83.4,7,East,58.20%,11.90%,4.20%,1.30%,0.50%,0.20%
mens,45370.7676821759,0,1,0.472466745793623,0.0980465540114172,0.0376602586063872,0.013083973779683,0.0029356730715115,0.0008543474025478,28,1,2168,Dayton,83.1,7,West,53.70%,10.30%,4.30%,1.30%,0.50%,0.20%
mens,45370.7676821759,0,1,0.450866545432298,0.141268709650161,0.0692403100908284,0.0250301494880777,0.0075448535378061,0.0028139583203551,32,1,344,Mississippi State,85.5,8,West,53.50%,9.50%,5.40%,2.70%,1.40%,0.80%
mens,45370.7676821759,0,1,0.65467348728189,0.0822467071734887,0.0351464739958903,0.0135670801828207,0.0046945014441288,0.0015892008702715,29,1,2226,Florida Atlantic,84.8,8,East,54.20%,7.10%,3.60%,1.50%,0.60%,0.30%
mens,45370.7676821759,0,1,0.463491207727733,0.120342598969227,0.0531931397344437,0.0240254773466814,0.0080334863271862,0.0024738673933945,31,1,158,Nebraska,84.2,8,South,65.30%,12.30%,5.80%,2.10%,0.60%,0.30%
mens,45370.7676821759,0,1,0.372194236984996,0.0389472905331012,0.0140854694944158,0.0039393381554992,0.0013837426246648,0.0003800286971754,30,1,328,Utah State,82.3,8,Midwest,58.00%,4.20%,2.10%,0.80%,0.30%,0.20%
mens,45370.7676821759,0,1,0.549133454567702,0.193526794444545,0.10194489735934,0.039995763832181,0.0129499777308442,0.0051018043878687,36,1,127,Michigan State,86.9,9,West,46.50%,6.90%,3.30%,1.40%,0.60%,0.30%
mens,45370.7676821759,0,1,0.536508792272267,0.151107703555832,0.0749494216445527,0.0376509200706298,0.0126624855062357,0.0038911317624814,35,1,245,Texas A&M,85,9,South,45.80%,5.30%,2.30%,1.00%,0.40%,0.20%
mens,45370.7676821759,0,1,0.627805763015004,0.104970790647547,0.0486591528737456,0.0179216189309381,0.0072693203940873,0.0023342420030918,34,1,2628,TCU,85,9,Midwest,42.00%,3.00%,1.40%,0.60%,0.30%,0.10%
mens,45370.7676821759,0,1,0.34532651271811,0.0230785094651052,0.0071922892030579,0.0019996261070512,0.0005327039930297,0.0001405062436378,33,1,77,Northwestern,80.7,9,East,34.70%,4.70%,2.00%,0.80%,0.20%,0.10%
mens,45370.7676821759,1,0.592557021547409,0.308897890086305,0.155587063770411,0.0746260712923558,0.0253819517367915,0.0093403484908199,0.0031532862055772,62,1,38,Colorado,84.8,10,South,44.00%,8.50%,2.90%,0.80%,0.30%,0.10%
mens,45370.7676821759,0,1,0.562432857609759,0.147190112543436,0.0490674141853103,0.0076176543027228,0.0022922162666513,0.0006788806486872,37,1,2181,Drake,82.9,10,East,41.80%,7.50%,2.20%,0.50%,0.20%,0.10%
mens,45370.7676821759,0,1,0.527533254206377,0.120413017163347,0.0525082867588339,0.0208629326720958,0.0051500315727531,0.0016278694039956,38,1,2440,Nevada,82.3,10,West,34.60%,5.10%,1.60%,0.40%,0.20%,0.10%
mens,45370.7676821759,1,0.446917495671565,0.142344331353877,0.026274808094901,0.0091862531267895,0.0020031093797797,0.0006897939033367,0.0001868608020496,63,1,36,Colorado State,81.5,10,Midwest,46.30%,7.60%,2.90%,0.80%,0.30%,0.10%
mens,45370.7676821759,0,1,0.495745391633983,0.197973974275918,0.0631662222147746,0.0272372614843665,0.0081995532973384,0.0030608423848681,42,1,167,New Mexico,84.2,11,West,34.50%,8.50%,2.70%,1.00%,0.40%,0.30%
mens,45370.7676821759,0,1,0.428031849202472,0.116466111724152,0.0280480267050249,0.0055986087765324,0.0018508621401976,0.0004753033132327,40,1,2483,Oregon,82.5,11,Midwest,41.50%,12.80%,4.20%,1.20%,0.50%,0.20%
mens,45370.7676821759,0,1,0.507083431808762,0.162158723179635,0.056387101293015,0.0132594605456192,0.0030459642694008,0.0006447310179499,41,1,152,North Carolina State,81.9,11,South,23.40%,6.20%,1.50%,0.40%,0.20%,0.10%
mens,45370.7676821759,0,1,0.236231714818352,0.0438177823590126,0.0107292485737377,0.0012287833879334,0.0002357826024463,4.53020350728915E-05,39,1,2184,Duquesne,79,11,East,20.40%,4.30%,1.00%,0.30%,0.10%,0.10%
mens,45370.7676821759,0,1,0.35389596236742,0.129929850357492,0.042239655060899,0.0122525162412235,0.0035876560073606,0.001310345337217,46,1,2253,Grand Canyon,81.2,12,West,44.00%,14.50%,3.20%,1.20%,0.40%,0.20%
mens,45370.7676821759,0,1,0.336687544027754,0.0998936929509768,0.0190825015965081,0.0061067186855582,0.0013272736430895,0.0002673651761053,45,1,256,James Madison,81.2,12,South,21.60%,4.70%,1.00%,0.40%,0.20%,0.10%
mens,45370.7676821759,0,1,0.219420654595823,0.0397629023546822,0.0027398856620275,0.0005541913724327,0.0001035239511275,1.92156573206344E-05,43,1,5,UAB,78.5,12,East,27.10%,7.00%,0.80%,0.30%,0.10%,0.10%
mens,45370.7676821759,0,1,0.150489124403898,0.0445902012164009,0.0048177014968858,0.0009486997716193,0.0002116843697255,3.61439857249906E-05,44,1,2377,McNeese State,78.3,12,Midwest,26.60%,7.70%,1.10%,0.50%,0.20%,0.10%
mens,45370.7676821759,0,1,0.142077501345457,0.0470576042562434,0.0053994574279467,0.0016091821386076,0.0003165661183915,6.18858216655679E-05,47,1,43,Yale,79.7,13,East,15.10%,5.40%,1.10%,0.40%,0.20%,0.10%
mens,45370.7676821759,0,1,0.203691297199753,0.0644974486150633,0.0132767892732262,0.0024680807603417,0.0003557600658685,7.07482824909494E-05,50,1,232,Charleston,79.5,13,West,11.90%,3.40%,0.80%,0.30%,0.10%,0.10%
mens,45370.7676821759,0,1,0.233762019154419,0.0509818068397569,0.0060760500181338,0.0012858882999456,0.0002708996149437,4.30084661945084E-05,48,1,2535,Samford,78.6,13,Midwest,22.40%,9.70%,1.00%,0.40%,0.20%,0.10%
mens,45370.7676821759,0,1,0.158319568821707,0.0504948713575875,0.006513951150702,0.0015268837040312,0.0002420243175827,3.5723370338351E-05,49,1,261,Vermont,78.6,13,South,10.40%,3.10%,0.80%,0.30%,0.10%,0.00%
mens,45370.7676821759,0,1,0.148830566261503,0.0577218971994966,0.0102898761475055,0.0015211620844891,0.0002367835210852,2.71657573605211E-05,52,1,2006,Akron,76.8,14,Midwest,8.10%,2.90%,0.80%,0.30%,0.10%,0.10%
mens,45370.7676821759,0,1,0.113126733518688,0.0257772420260968,0.0025871580659959,0.0004066557321837,3.65454386398894E-05,4.85011402935064E-06,54,1,2142,Colgate,76.2,14,West,14.70%,5.00%,1.50%,0.40%,0.20%,0.10%
mens,45370.7676821759,0,1,0.0815293676529956,0.0189602615147627,0.0030584277123707,0.000213200431952,2.88577322736976E-05,3.94324219543005E-06,51,1,2413,Morehead State,75.9,14,East,7.90%,2.40%,0.70%,0.30%,0.10%,0.10%
mens,45370.7676821759,0,1,0.0935181552157252,0.0246448147223499,0.0037985363273325,0.0003550276660141,3.36466684325738E-05,3.03756713132034E-06,53,1,2473,Oakland,74.4,14,South,7.50%,2.40%,0.70%,0.20%,0.10%,0.00%
mens,45370.7676821759,0,1,0.157338874453291,0.036342812426423,0.006244217255713,0.0006396977790813,6.25282971919485E-05,5.77553099925602E-06,57,1,98,Western Kentucky,74.7,15,South,5.00%,2.00%,1.00%,0.30%,0.20%,0.10%
mens,45370.7676821759,0,1,0.0525142385265521,0.0124707593222513,0.0015740109509148,7.78330952517021E-05,9.62095638080332E-06,1.20381805161412E-06,55,1,2571,South Dakota State,74.5,15,East,5.50%,2.20%,1.10%,0.30%,0.20%,0.10%
mens,45370.7676821759,0,1,0.0335100438024843,0.0065726519355564,0.0013392408144175,0.0002430917690669,1.87292131443603E-05,2.19117346184023E-06,58,1,299,Long Beach State,72.7,15,West,5.90%,2.20%,1.00%,0.30%,0.10%,0.10%
mens,45370.7676821759,0,1,0.0249533856526177,0.0030587866317707,0.0003490535906316,2.05948883709837E-05,1.51071095913739E-06,8.01836178054354E-08,56,1,2612,St. Peter's,71.2,15,Midwest,4.40%,1.80%,0.90%,0.30%,0.10%,0.10%
mens,45370.7676821759,0,1,0.0330291566982712,0.0049132157313923,0.0006068918645927,8.06254751757511E-05,6.51025350376949E-06,5.02249297641713E-07,60,1,2344,Longwood,73.4,16,South,3.50%,1.50%,0.90%,0.50%,0.30%,0.20%
mens,45370.7676821759,0,1,0.0049776403323817,0.0006616097174096,5.66583852993725E-05,4.15623725386768E-06,2.75488183686049E-07,1.88927605125979E-08,59,1,56,Stetson,70.8,16,East,3.20%,1.40%,0.70%,0.40%,0.20%,0.10%
mens,45370.7676821759,1,0.376784553404448,0.0019073062951642,0.0001844671214523,1.31621935000321E-05,6.70182852212495E-07,4.07096115594219E-08,1.78217768248678E-09,67,1,2755,Grambling State,68.1,16,Midwest,2.70%,1.20%,0.70%,0.40%,0.20%,0.10%
mens,45370.7676821759,1,0.413761014456548,0.003817748148723,0.0001512849327006,7.06058288357092E-06,2.09600660524727E-07,4.38311308081438E-09,1.6556403573514E-10,68,1,2681,Wagner,66.4,16,West,2.40%,1.10%,0.60%,0.40%,0.20%,0.10%
